"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
2435,139465,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","LINGUICA MANIPULADA","LINGUICA DE AVE MANIPULADA","LING FRANGO SADIA GNEL GNEL",39.4,731,288,385,3798.21
2435,42338,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","FRIO ESPECIAL MANIPULADO","MORTADELA ESPECIAL MANIPULADA","MORT C/PICLES CERATTI FATIADA 201",44.81,752,337,655,2571.63
2435,10238,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","SALAME COPA E LOMBO MANIPULADO","COPA MANIPULADA","CARNE RESF SUINA COPA FAT",40.38,728,294,463,6145.15
2435,71727,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","QUEIJOS MANIPULADOS","QUEIJO PROVOLONE MANIPULADO","PROVOLONE FATIADO MANIPULADO","QJ PROV S/CASCA FATIADO",6.74,549,37,56,681.8
2435,12768,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","PRESUNTO MANIPULADO","PRESUNTO COZIDO MANIPULADO","PRES COZ GORD SADIA FAT         PCI",61.25,751,460,1318,7522.78
2435,23986,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","FRIOS MANIPULADOS","FRIO ESPECIAL MANIPULADO","PRESUNTO COZIDO ESPECIAL MANIPULADO","PRES DEFUMADO KASSEL FT",38.62,756,292,808,3132.74
2435,287944,"FRIOS TRANSFORMADOS","PEREC COMPLEMENTAR","QUEIJOS MANIPULADOS","QUEIJO PROVOLONE MANIPULADO","PROVOLONE FATIADO MANIPULADO","QJ PROV TIROLEZ PEDACOS",19.97,756,151,176,4370.48
2435,169851,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","PAO FRANCES","PAO FRANCES PREMIUM KG",81.34,745,606,117473,585231.12
2435,472807,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","CHIPA","CHIPA DE QUEIJO",98.15,756,742,6469,39053.74
2435,209366,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","PAO FRANCES","PAO FRANCES INTEGRAL PREMIUM KG",78.88,734,579,9405,30890.17
2435,42994,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO CACAROLA FP KG",85.93,718,617,1862,18963.16
2435,30533,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO DE LARANJA F PROPRIA KG",80.67,745,601,1335,9165.96
2435,18715,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO AIPIM FP",67.64,754,510,859,5212.86
2435,99479,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","COSTELA SUINA FAMILIA RESF       KG",100,1,1,1,27.46
2435,426947,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","CUCA DE GOIABADA",39.74,755,300,391,4148.12
2435,443760,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE RECH FGO/REQ BRICO",23.3,382,89,147,1305.67
2435,75183,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO BABA DE MOCA COM NOZES",25.9,753,195,254,9918.89
2435,488495,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE FRANCESA C/QUEIJO FP   KG",31.58,570,180,261,973.6
2435,4558927,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PADARIA E CONFEITARIA SAZONAL","COLOMBAS","BOLO DE PASCOA C/ FRUTAS 500G",10.71,691,74,121,1138.53
2435,321600,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO DE CHOC/NOZES FP",19.79,748,148,177,8525.6
2435,173575,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO TUBETE C/ MOUSSE CHOC KG",4.11,535,22,25,1733.08
2435,52474,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO BOMBOM FP GR",18.41,239,44,50,2110.54
2435,409254,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","NAKED CAKE COM FRUTAS VERMELHAS KG",0.59,675,4,4,216.85
2435,3212011,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","BOLO DE COLHER KIT KAT 100GR",3.79,528,20,24,129.68
2435,125048,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE RUSTICA CLASSICA KG",2.49,201,5,6,38.4
2435,208,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","PAES ITALIANOS","PAO ITALIANO ESPECIAL FP",100,1,1,1,5.15
2435,88718,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO CORTE ESPECIAL","BIFE A MILANESA PATINHO BOV RESF KG",50.41,724,365,978,13031.27
2435,82587,"CARNES E AVES","CARNES","BOVINOS","BOV-RESFRIADOS","RESF-BOVINO CORTE ESPECIAL","CARNE P/ STROGONOFF DE COXAO MOLE",44.75,753,337,986,18815.17
2435,62572,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","BISTECA SUINA RESF KG (CORTE)",88.49,756,669,2975,30163.98
2435,16759,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","PERNIL SUINO C/OSSO RESF (CORTE) KG",12.68,544,69,151,2354.1
2435,175357,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","PAO DE QUEIJO","PAO DE QUEIJO COQUETEL PREMIUN KG",99.47,756,752,7352,42855.94
2435,443777,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE RECH MUSS/OREGAN BRICO",20.16,382,77,124,1261.23
2435,488402,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE ESPECIAL C/GERGELIM",92.71,590,547,1918,8455.85
2435,11068,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES LANCHE","PAES DE LEITE","PAO DE LEITE FP",63.36,756,479,816,4511.9
2435,439626,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","CUCA DE MACA C/CANELA FP",40.48,756,306,388,4260.24
2435,280822,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","COXAO DURO SUINO RESF KG (CORTE)",3.06,620,19,21,148.28
2435,1573954,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES DOCES","SONHOS","SONHO DE BAUNILHA FP 100G",66.89,755,505,1943,8177.94
2435,414630,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOMBOCADO ARTESANAL FP KG",62.58,743,465,834,3765.53
2435,435994,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","MEDALHAO FILE SUINO RESF KG CORTE",23.71,755,179,237,2620.15
2435,345989,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","ESCALOPE LOMBO SUINO RESF KG CORTE",6.54,703,46,57,488.46
2435,345668,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","LAGARTO SUINO RESF KG (CORTE)",1.14,702,8,8,65.74
2435,345538,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS ESPECIAIS","BACON SUINO RESF KG (CORTE)",100,2,2,3,15.17
2435,443784,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","BAGUETES","BAGUETE RECH CALABRESA KG",21.93,383,84,167,1525.13
2435,7017414,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","FOLHADOS SALGADOS","CROISSANT QUEIJO PRESUNTO 70G",61.13,337,206,329,2967.05
2435,303040,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES DOCES","BRIOCHES","PAO BRIOCHE C/GOTAS CHOCOLATE FP",9.31,752,70,78,760.33
2435,395236,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO  CHOCOLATE FP GR",19,737,140,167,8801.58
2435,54300,"CARNES E AVES","CARNES","SUINOS E OUTROS","SUINOS-RESFRIADOS","RESF - CORTES SUINOS GENERICOS","PALETA SUINA C/OSSO RESF         KG",1.64,183,3,3,47.7
2435,476645,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO KIT KAT KG",1.84,544,10,10,531.95
2435,3211984,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","DOCES GELADOS","BOLO DE COLHER BOMBOM  100 GR",5.26,95,5,6,39.92
2435,440905,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","PAO FRANCES","MINI PAO FRANCES ESP C/GERGELIM FP",89.82,609,547,3659,11480.79
2435,15417,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","BOLO CHOCOLATE KG",79.21,755,598,1223,9681.23
2435,1110869,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PADARIA E CONFEITARIA SAZONAL","PANETONES","PANETONE GOTAS DE CHOCOLATE FP500gr",63.44,733,465,2406,21150.51
2435,29421,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES LANCHE","BISNAGAS","BISNAGUINHA FP",72.05,755,544,1037,6700.92
2435,441209,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES CROCANTES","PAO FRANCES","MINI PAO FRANCES PREMIUM KG",75,4,3,16,48.76
